Name,Age,GPA,Credits Completed,Year,Pathway
Eli  Rodrigues,16,2.05,2,Senior,Construction
Calvin  Smith,14,1.38,47,Freshman,Culinary
Andy  Williams,14,0.41,43,Victory Lap,Early Child Education
Calvin  Davis,19,3.05,3,Senior,Bio Med
Ben  Williams,15,1.15,9,Freshman,Bio Med
Billy  Johnson,15,1.1,24,Junior,Engineering
Marge  Miller,15,0.4,42,Junior,Marketing
Marge  Moore,17,3.93,9,Sophmore,Engineering
Mark  Johnson,16,3.25,58,Junior,Marketing
Joe  Smith,16,2.2,40,Victory Lap,Culinary
Ben  Wilson,15,0.48,23,Freshman,Engineering
James  Brown,18,3.32,59,Senior,Criminal Justice
Lisa  Smith,16,3.65,16,Freshman,Marketing
Ben  Williams,17,0.76,54,Senior,Business
Conner  Brown,18,1.68,33,Victory Lap,Business
James  Davis,19,0.37,22,Junior,Criminal Justice
Eli  Smith,15,3.14,40,Freshman,Early College
Calvin  Smith,15,0.38,3,Freshman,Bio Med
Conner  Williams,18,0.33,41,Victory Lap,Bio Med
John  Brown,18,1.82,2,Victory Lap,Culinary
Jimmy  Rodrigues,17,0.99,43,Victory Lap,Early College
Marge  Williams,14,3.52,23,Freshman,Bio Med
Jimmy  Miller,14,1.92,54,Freshman,Bio Med
John  Brown,14,1.43,46,Sophmore,Construction
Eli  Brown,14,0.74,32,Victory Lap,Marketing
Ben  Moore,18,3.48,60,Senior,Bio Med
Joe  Moore,19,0.46,1,Sophmore,Bio Med
John  Miller,19,4.29,49,Sophmore,Bio Med
Eli  Brown,15,2.76,21,Sophmore,Culinary
Jimmy  Rodrigues,16,2.79,46,Sophmore,Computer Science
Jimmy  Jones,17,1.7,15,Sophmore,Early Child Education
Andy  Jones,19,3.84,32,Junior,Early College
Mark  Johnson,14,3.85,58,Senior,Construction
Steven  Williams,17,0.36,42,Sophmore,Business
Calvin  Jones,16,3.27,42,Junior,Business
James  Smith,18,0.46,19,Freshman,Construction
Mark  Johnson,18,1.03,1,Victory Lap,Bio Med
Conner  Wilson,17,1.15,31,Senior,Computer Science
John  Wilson,14,3.89,30,Senior,Computer Science
James  Williams,15,4.43,33,Senior,Bio Med
James  Smith,19,4.08,11,Sophmore,Marketing
Marge  Rodrigues,18,0.48,40,Senior,Engineering
Conner  Brown,18,1.74,46,Victory Lap,Early College
Timmy  Brown,18,4.29,3,Victory Lap,Business
James  Williams,14,2.5,40,Freshman,Bio Med
Eli  Wilson,17,2.23,46,Sophmore,Marketing
Andy  Miller,18,2.11,54,Freshman,Construction
Timmy  Smith,17,1.9,13,Junior,Culinary
Ben  Williams,14,2.02,2,Sophmore,Bio Med
Jimmy  Smith,18,0.94,58,Sophmore,Culinary
Timmy  Brown,14,0.84,53,Senior,Culinary
Mark  Jones,15,4.04,20,Sophmore,Criminal Justice
John  Brown,16,0.66,48,Junior,Bio Med
Marge  Johnson,16,1.26,36,Sophmore,Culinary
Calvin  Brown,18,3.87,60,Sophmore,Early College
Ben  Brown,16,1.73,34,Victory Lap,Construction
Calvin  Davis,14,4.39,44,Victory Lap,Early Child Education
Mark  Johnson,14,0.88,25,Sophmore,Early Child Education
Conner  Johnson,14,2.1,10,Sophmore,Computer Science
Ben  Brown,19,3.32,13,Junior,Marketing
Steven  Brown,18,4.23,54,Senior,Engineering
Ben  Moore,17,2.23,52,Freshman,Early College
Steven  Johnson,16,2.78,51,Freshman,Early College
John  Miller,16,2.6,22,Sophmore,Criminal Justice
Ben  Davis,17,2.91,6,Senior,Computer Science
Timmy  Wilson,15,4.5,13,Sophmore,Bio Med
Calvin  Rodrigues,14,2.06,59,Victory Lap,Early College
Calvin  Johnson,19,2.63,60,Junior,Bio Med
Mark  Jones,15,2.35,42,Freshman,Early Child Education
Mark  Moore,17,1.14,34,Senior,Criminal Justice
Mark  Davis,14,2.12,7,Freshman,Early Child Education
Steven  Davis,19,2.56,23,Senior,Criminal Justice
Mark  Rodrigues,19,2.21,29,Junior,Marketing
Ben  Davis,18,4.25,44,Victory Lap,Construction
Lisa  Wilson,18,2.62,1,Senior,Construction
Billy  Williams,18,0.32,17,Senior,Construction
Conner  Johnson,17,2.51,17,Freshman,Construction
Jimmy  Brown,19,1.88,5,Victory Lap,Bio Med
Timmy  Wilson,18,1.32,17,Senior,Criminal Justice
Lisa  Miller,19,4.39,3,Freshman,Bio Med
Mark  Brown,16,1.36,37,Sophmore,Computer Science
Billy  Brown,18,2.19,54,Sophmore,Bio Med
Conner  Moore,15,1.82,13,Junior,Early College
Timmy  Wilson,16,2.8,14,Junior,Early Child Education
Eli  Smith,17,4.44,12,Junior,Engineering
Mark  Smith,15,1.76,37,Victory Lap,Construction
Ben  Johnson,16,3.63,56,Senior,Construction
Andy  Wilson,15,3.77,41,Sophmore,Early College
Conner  Jones,19,1.81,23,Sophmore,Construction
Ben  Moore,15,0.79,35,Junior,Computer Science
Andy  Davis,15,2.74,27,Freshman,Business
Marge  Jones,15,0.48,11,Senior,Culinary
Steven  Jones,19,0.43,48,Senior,Engineering
Jimmy  Jones,15,2.03,1,Freshman,Construction
Marge  Brown,17,1.83,8,Freshman,Bio Med
Timmy  Moore,18,1.14,27,Sophmore,Construction
Calvin  Rodrigues,14,1.92,32,Sophmore,Marketing
Billy  Brown,18,1.73,58,Senior,Marketing
Joe  Johnson,18,3.37,5,Junior,Criminal Justice
Billy  Rodrigues,19,0.44,31,Freshman,Early Child Education
Timmy  Davis,19,0.73,59,Junior,Construction
Mark  Miller,16,2.55,54,Junior,Early College
Timmy  Williams,14,3.49,30,Freshman,Computer Science
John  Smith,14,2.18,21,Senior,Computer Science
Eli  Wilson,15,0.71,39,Junior,Marketing
Jimmy  Williams,19,0.52,47,Victory Lap,Criminal Justice
Lisa  Davis,16,3.26,58,Freshman,Engineering
Steven  Rodrigues,15,0.85,5,Freshman,Construction
Mark  Smith,16,2.69,47,Victory Lap,Criminal Justice
Eli  Davis,17,1.45,42,Freshman,Business
Lisa  Johnson,18,4.14,54,Junior,Business
John  Wilson,16,3.66,35,Senior,Engineering
James  Williams,15,2.19,47,Victory Lap,Construction
Steven  Davis,16,0.45,34,Freshman,Culinary
Billy  Wilson,18,1.75,5,Senior,Bio Med
Billy  Smith,17,2.83,8,Freshman,Culinary
Conner  Brown,18,3.24,33,Senior,Business
Joe  Williams,16,3.95,18,Victory Lap,Criminal Justice
